NaceCodeGroup,NaceDescription_FR,JuridicalForm,JuridicalForm_FR,EnterpriseCount
55,Hébergement,721.0,,234
71,Activités d’architecture et d’ingénierie; activités de contrôle et analyses techniques,3.0,,234
22,Fabrication de produits en caoutchouc et en plastique,15.0,,233
12,Fabrication de produits à base de tabac,721.0,,232
47,Commerce de détail,6.0,,229
68,Activités immobilières,30.0,,229
79,"Activités d’agence de voyage, de voyagiste, de service de réservation et de services connexes",15.0,,228
12,Fabrication de produits à base de tabac,612.0,,227
46,Commerce de gros,8.0,,227
60,"Activités de programmation, de diffusion, d’agence de presse et autres activités de distribution de contenu",17.0,,226
13,Fabrication de textiles,15.0,,224
53,Activités de poste et de courrier,11.0,,222
59,"Production de films cinématographiques, de vidéos et de programmes de télévision; enregistrement sonore et édition musicale",12.0,,222
11,Fabrication de boissons,17.0,,220
52,Entreposage et services auxiliaires des transports,30.0,,220
81,Activités de services pour les bâtiments et l’aménagement paysager,17.0,,220
50,Transport par eau,14.0,,219
61,Télécommunications,14.0,,218
15,"Fabrication de cuir, d’articles en cuir et de produits similaires dans d’autres matières",11.0,,217
88,Activités d’action sociale sans hébergement,612.0,,217
46,Commerce de gros,706.0,,214
55,Hébergement,3.0,,212
52,Entreposage et services auxiliaires des transports,11.0,,210
84,Administration publique et défense; sécurité sociale obligatoire,17.0,,210
94,Activités des organisations associatives,721.0,,209
96,Activités de services aux personnes,721.0,,205
99,Activités des organisations et organismes extraterritoriaux,160.0,,205
32,Autres industries manufacturières,612.0,,204
49,Transports terrestres et transports par conduites,3.0,,203
79,"Activités d’agence de voyage, de voyagiste, de service de réservation et de services connexes",612.0,,203
73,"Activités de publicité, d’études de marché et de relations publiques",125.0,,201
15,"Fabrication de cuir, d’articles en cuir et de produits similaires dans d’autres matières",15.0,,200
10,Industries alimentaires,3.0,,199
23,Fabrication d’autres produits minéraux non métalliques,15.0,,199
17,Industrie du papier et du carton,14.0,,198
73,"Activités de publicité, d’études de marché et de relations publiques",3.0,,196
14,Industrie de l’habillement,17.0,,193
33,"Réparation, entretien et installation de machines et d’équipements",12.0,,193
62,"Programmation, conseil et autres activités informatiques",3.0,,193
77,Activités de location et location-bail,721.0,,193
78,Activités liées à l’emploi,17.0,,192
82,"Activités de service de bureau, de soutien administratif et d’autre soutien aux entreprises",706.0,,190
16,"Travail du bois et fabrication d’articles en bois et en liège, à l’exception des meubles; fabrication d’articles en vannerie et sparterie",17.0,,187
93,Activités sportives et activités récréatives et de loisirs,418.0,,187
85,Enseignement,30.0,,186
39,Activités de dépollution et autres activités de service de gestion des déchets,,,181
70,Activités des sièges sociaux et conseil de gestion,706.0,,181
58,Activités d’édition,11.0,,180
84,Administration publique et défense; sécurité sociale obligatoire,413.0,,179
70,Activités des sièges sociaux et conseil de gestion,8.0,,174
42,Génie civil,11.0,,173
